Sentence #,Word,POS,Tag
Sentence: 1,EU,NNP,B-ORG
,rejects,VBZ,O
,German,JJ,B-MISC
,call,NN,O
,to,TO,O
,boycott,VB,O
,British,JJ,B-MISC
,lamb,NN,O
,.,.,O
Sentence: 2,Peter,NNP,B-PER
,Blackburn,NNP,I-PER
Sentence: 3,BRUSSELS,NNP,B-LOC
,1996-08-22,CD,O
Sentence: 4,The,DT,O
,European,NNP,B-ORG
,Commission,NNP,I-ORG
,said,VBD,O
,on,IN,O
,Thursday,NNP,O
,it,PRP,O
,disagreed,VBD,O
,with,IN,O
,German,JJ,B-MISC
,advice,NN,O
,to,TO,O
,consumers,NNS,O
,to,TO,O
,shun,VB,O
,British,JJ,B-MISC
,lamb,NN,O
,until,IN,O
,scientists,NNS,O
,determine,VBP,O
,whether,IN,O
,mad,JJ,O
,cow,NN,O
,disease,NN,O
,can,MD,O
,be,VB,O
,transmitted,VBN,O
,to,TO,O
,sheep,NN,O
,.,.,O
Sentence: 5,Germany,NNP,B-LOC
,'s,POS,O
,representative,NN,O
,to,TO,O
,the,DT,O
,European,NNP,B-ORG
,Union,NNP,I-ORG
,'s,POS,O
,veterinary,JJ,O
,committee,NN,O
,Werner,NNP,B-PER
,Zwingmann,NNP,I-PER
,said,VBD,O
,on,IN,O
,Wednesday,NNP,O
,consumers,NNS,O
,should,MD,O
,buy,VB,O
,sheepmeat,NN,O
,from,IN,O
,countries,NNS,O
,other,JJ,O
,than,IN,O
,Britain,NNP,B-LOC
,until,IN,O
,the,DT,O
,scientific,JJ,O
,advice,NN,O
,was,VBD,O
,clearer,JJR,O
,.,.,O
Sentence: 6,"""","""",O
,We,PRP,O
,do,VBP,O
,n't,RB,O
,support,VB,O
,any,DT,O
,such,JJ,O
,recommendation,NN,O
,because,IN,O
,we,PRP,O
,do,VBP,O
,n't,RB,O
,see,VB,O
,any,DT,O
,grounds,NNS,O
,for,IN,O
,it,PRP,O
,",",",",O
,"""","""",O
,the,DT,O
,Commission,NNP,B-ORG
,'s,POS,O
,chief,JJ,O
,spokesman,NN,O
,Nikolaus,NNP,B-PER
,van,NNP,I-PER
,der,FW,I-PER
,Pas,NNP,I-PER
,told,VBD,O
,a,DT,O
,news,NN,O
,briefing,NN,O
,.,.,O
Sentence: 7,He,PRP,O
,said,VBD,O
,further,JJ,O
,scientific,JJ,O
,study,NN,O
,was,VBD,O
,required,VBN,O
,and,CC,O
,if,IN,O
,it,PRP,O
,was,VBD,O
,found,VBN,O
,that,IN,O
,action,NN,O
,was,VBD,O
,needed,VBN,O
,it,PRP,O
,should,MD,O
,be,VB,O
,taken,VBN,O
,by,IN,O
,the,DT,O
,European,NNP,B-ORG
,Union,NNP,I-ORG
,.,.,O
Sentence: 8,He,PRP,O
,said,VBD,O
,a,DT,O
,proposal,NN,O
,last,JJ,O
,month,NN,O
,by,IN,O
,EU,NNP,B-ORG
,Farm,NNP,O
,Commissioner,NNP,O
,Franz,NNP,B-PER
,Fischler,NNP,I-PER
,to,TO,O
,ban,VB,O
,sheep,NN,O
,brains,NNS,O
,",",",",O
,spleens,NNS,O
,and,CC,O
,spinal,JJ,O
,cords,NNS,O
,from,IN,O
,the,DT,O
,human,NN,O
,and,CC,O
,animal,NN,O
,food,NN,O
,chains,NNS,O
,was,VBD,O
,a,DT,O
,highly,RB,O
,specific,JJ,O
,and,CC,O
,precautionary,JJ,O
,move,NN,O
,to,TO,O
,protect,VB,O
,human,JJ,O
,health,NN,O
,.,.,O
Sentence: 9,Fischler,JJR,B-PER
,proposed,VBN,O
,EU-wide,NNP,B-MISC
,measures,VBZ,O
,after,IN,O
,reports,NNS,O
,from,IN,O
,Britain,NNP,B-LOC
,and,CC,O
,France,NNP,B-LOC
,that,WDT,O
,under,IN,O
,laboratory,NN,O
,conditions,NNS,O
,sheep,NN,O
,could,MD,O
,contract,VB,O
,Bovine,NNP,B-MISC
,Spongiform,NNP,I-MISC
,Encephalopathy,NNP,I-MISC
,(,(,O
